user,date,rating,title,content
baumer,13-Jul-99,10月10日,Stephen King's best adapted movie,"Misery and Stand By Me were the best adaptations up until this one, now you can add Shawshank to that list.This is simply one of the best films ever made and I know I am not the first to say that and I certainly won't be the last. The standing on the IMDb is a true barometer of that. #3 as of this date and I'm sure it could be number 1. So I'll just skip all the normal praise of the film because we all know how great it is. But let me perhaps add that what I find so fascinating about Shawshank is that Stephen King wrote it.King is one of the best writers in the world. Books like IT and the Castle Rock series are some of the greatest stories ever told. But his best adaptations are always done by the best directors. The Shining was brilliantly interpreted by Kubrick and of course the aforementioned Misery and Stand By Me are both by Rob Reiner. Now Frank Darabont comes onto the scene and makes arguably the best King film ever. He seems to understand what King wants to say and he conveys that beautifully.What makes this film one of the best ever made is the message it conveys. It is one of eternal hope. Andy Dufresne, played by Tim Robbins, has been sent to prison for a crime he did not commit. But he never loses hope. He never gives up his quest to become a free man again. His years of tenacity, patience and wits keep him not only sane, but it gives his mind and a spirit a will to live. This film has a different feel to it. There has never been anything like it before and I don't know if there will again.I'm not going to say any more about this film, it has already been said, but just suffice to say that I am glad that Forrest Gump won best picture in 94. I would have been equally glad if Pulp Fiction or Shawshank would have won. It is that good of a movie and one that will be appreciated for years to come."
mocpacific,3-Jun-10,7月10日,Mystery,"I still can't quite get the enormous reputation of this film. I saw it again last night and instead of clearing up the mystery, the mystery got thicker. It is enjoyable film with very good performances by Tim Robbins, Morgan Freeman, James Whitmore etc, but...the most highly rated film ever? I don't get it. The voice over alone seems to belong to a so so film. I love Morgan Freeman's voice but he's telling us what we're seeing. So, the sterling reputation damages the enjoyment of the film because one is expecting something that never, really, arrives. The most interesting aspect is Tim Robbins's psychological journey. Credible or incredible doesn't quite matter, I did go with him without asking too many questions. Morgan Freeman's humanity is contagious and inspiring, whether credible or not because I bought it. So, a masterpiece? No. Good, even very good? Yes."
TBJCSKCNRRQTreviews,23-Jul-05,5月10日,"Tedious, overlong, with ""hope"" being the second word spoken in just about every sentence... who cares?","I simply fail to understand how this film is so popular... it's quite simply beyond me. The only way I can explain it is that all the fans of King's short story found it very true to the spirit of the book, and voted 10 for that. I really could not find anything worth my time in this film, and apart from a very good monologue from Freeman near the end, one or two good lines of dialog and the acting, there's really nothing in the whole film worth watching it for. It's about hope... and the director won't let us forget it, so it's repeated until the audience mumbles it in our sleep. It's like this short, one-note story was written, and the author just didn't want to end it... so he kept writing... and writing... until someone had the sense to break down the door and wrestle the pen from him yelling ""for the love of all that is holy, stop writing!"" And I thank that faceless man for doing that, because it is undoubtedly the only reason the film was 142 minutes long, and not 284, or, dare I say it, 568. The film simply drones on and on, scene after scene, containing nothing remotely interesting(but with excellent acting, mind you). There's nothing good about this film except for the acting. Just about all of it is great. I can't really think of anything else to say... I guess my dislike for the film stems from my hatred of King's writing. I suppose it is possible for someone who is neutral on his works to enjoy this film. I recommend this to fans of Stephen King, the actors and possibly Frank Darabont. If you're not a fan of any of these people, I doubt you'd find this enjoyable. 5/10"
TheLittleSongbird,17-Apr-09,10月10日,"Enthralling, fantastic, intriguing, truly remarkable!",N/A
Douglas-2,16-Aug-98,N/A,Two movies in one,N/A
schnad,6-Feb-99,10月10日,Simply known as "The Movie","Whenever I talk about this movie with my friends, I do not even refer to it by title, but rather as ""The Movie"".  When I say ""The Movie"", my friends know exactly what I'm talking about.  In fact the main reason that me and my friends don't refer to it by title is because this movie is so great, that we do not feel worthy enough to say it's name in vain! I still remember the first time I saw The Shawshank Redemption.  Some friends of mine and I went to see it at one of those ""Budget Theaters"" over the summer of 1995.  None of us really knew anything about the movie, but we had heard that it was pretty good.  So, not having any real expectations, we saw it.  When the final credits rolled and the lights came on in the theater, all of us just sat there with our jaws hanging down on the floor. I turned my head towards my friend Bob and said ""That was the greatest movie I have ever seen in my entire life!"" There's really no other way I can put it in words.  Every moment of this movie captivated me and inspired me to believe in the one true thing in life...... ""HOPE"".  This movie is sad, uplifting, inspiring, harsh, cold, funny (at the right times), jaw-dropping, and heart-warming all at the same time.  I get chills every time I watch this film and this film contains the greatest ending (which takes place over the last 30 minutes or so)in movie history!  How it all just ""comes together"" is so incredible and uplifting. I should also mention the music in this movie is nearly flawless as well, and the soundtrack is a ""must buy"" for any music fan. The only bad thing about this movie is the fact that I know I will never see a better movie, no matter how many I may see.  I've seen many movies over the past few years, many excellent films.  However, every time I walk out of the theater, I turn to my friend or family member that I saw it with and I say, ""That was a great movie, but it wasn't nearly as good as 'you know what'!""  There have been many movies over the past few years that thought would really move me or that I might one day call my ""favorite of all time"", but they've all fallen far short of ""The Shawshank Redemption"". So, if you have yet to see this movie, please run to the video store immediately.  You're guaranteed to find it in the ""employee picks"" section. And if it isn't in that section, then you should tell the employees there that there is something seriously wrong with them.  If you have seen this movie, go see it again.  If you haven't bought your own copy yet, buy one. In fact buy two, and put one in a fire-proof safe, just in case of an emergency. :o) So, you want a 1-10 rating???  I give it a 13!!!!!!"
0U,23-Feb-20,10月10日,My favorite movie of all time.,"The Shawshank Redemption has great performances, extremely well written script and story all leading to a deeply emotional climax! One of the best dramas of all time!"
reismark,6-Sep-00,10月10日,Simply amazing. The best film of the 90's.,N/A
Leofwine_draca,18-Dec-16,10月10日,All-time prison film classic,N/A
KORN-6,21-Oct-98,10月10日,The absolute GREATEST movie of all time.,N/A
hosodi-11867,23-Jul-23,10月10日,A Timeless Tale of Hope and Resilience,"It is a timeless tale of hope and resilience that remains deeply impactful to this day. Set within the confines of Shawshank State Penitentiary, the film intricately weaves a narrative of human spirit's triumph over adversity and the enduring power of hope. Tim Robbins and Morgan Freeman deliver captivating performances, infusing life into their characters and making their journey truly unforgettable. Under the skilled direction of Frank Darabont, the film's storytelling unfolds seamlessly, drawing the audience into a world of despair and redemption. Through its exploration of friendship, injustice, and the pursuit of freedom, ""The Shawshank Redemption"" resonates with audiences worldwide, leaving a profound and emotional impression that lingers long after the credits roll."
DrJoTab,12-Apr-99,7月10日,"Good movie, but best of all time? Hardly . . .","I was a little surprised at first to see this film ranked #1 out of all possible candidates in the IMDB user ratings. When I thought about it, though, it made more sense--this is a ""Rocky""-type feel-good movie that doesn't really make you think and reinforces what we would all like to believe about human nature. Don't get me wrong--it's a fine film (I gave it a solid 7 out of 10), it's just not, in my view, up there with _Casablanca_ and _The Graduate_.I guess the main problem I have with _Shawshank_ is the nature of the script and characters. Think about it: is there a single person in the film who isn't a one-dimensional cardboard cut-out with very simple motivations, or a Hollywood cliche or stereotype? We have (in no particular order), a corrupt, bigoted prison warden (who is a religious hypocrite for good measure), a brutal prison guard, a man who is wrongly accused of murder, an old convict who knows all the ropes and can't live on the outside, and a convict who is murdered by the brutal guards. Now where have we seen this stuff before? Only in a few dozen movies made from the 20s to the 90s. There's really nothing new here. Probably this comes from the fact that the story is from Stephen King, who doesn't really do well with complex characters (a problem I noted as far back as _Carrie_).If you want to see a good prison picture, try _Cool Hand Luke_ (from which this movie borrows considerably). If you want an escape picture, see either _The Great Escape_ or _Papillon_, both with Steve McQueen. Or if, by some chance, you want a crime and punishment movie that really makes you think, go with the late great Stanley Kubrick's _A Clockwork Orange_.I couldn't stop thinking about the warden: doesn't he have a family? How did they feel? What are they going to do now? I realize the story is inside the prison, but I wish the movie had made better use of its characters than simply as simple-minded symbols of EVIL or VIRTUE.I'm not Mr. Cranky, I did enjoy the movie, but I enjoyed it the same way I do an Italian dinner at the Olive Garden--a well-constructed genre product with nothing special to commend it."
v_goggo,23-Jul-03,5月10日,Over rated,"The Shawshank Redemption is with out a doubt one of the most over rated films of the 90s.  There have been many intriguing prison movies over the years, Shawshank is not one of them. Instead it's sentimental slop served to uplift the souls of the American people.  There is never any sense in the film that Tim Robbin's character is in true danger.  If the film wanted to show the true horror of prison maybe it should of been far more darker, instead of inspiration. Morgan Freeman is wasted as usual, in the role of wisdom spouting inmate. Freeman's character is mainly there to look wise and bring inspiration to us all, but he is never treated as a typical person. Tim Robbins is good, but his character is all good, while the prison warden is sure evil. Everything is black and white.  Shawshank has potential to be great, but director Frank Darabant's obsession with being Frank Capra ruins the film at every turn."
classicsoncall,30-Jul-11,10月10日,"""I'm a convicted murderer who provides sound financial planning"".",N/A
jiposek,23-Jul-23,10月10日,Finding Beauty in the Shadows,"It is a cinematic masterpiece that delves into the profound human experiences hidden within the darkness of a prison. Tim Robbins' portrayal of Andy Dufresne and Morgan Freeman's captivating performance as Red create an indelible bond that transcends the boundaries of their confined world. Director Frank Darabont weaves a poignant tale of hope, friendship, and the pursuit of redemption against the backdrop of injustice and despair. The film's visual splendor and evocative soundtrack enhance the emotional depth of the story, leaving audiences inspired and deeply moved. ""Finding Beauty in the Shadows: The Shawshank Redemption"" reminds us that even in the bleakest of circumstances, the human spirit can find solace and beauty, making it an enduring and cherished classic."
Si Cole,3-Aug-01,8月10日,The best story ever told on film,N/A
djhenebury-1,3-Jan-06,10月10日,Hope is everything,"This movie surprised me so much I watched it twice in one day the first time I saw it. Sure I hadn't just picked a movie at random, at the local DVD-shop, but I didn't expect it to be so good. After I watched it I had a look on the IMDb website and was surprised once again that i found it placed number 2 on the top 250 movies list. I wondered to myself, why didn't I know about this movie. Afterall Morgan Freeman and Tim Robbins are quite well-known actors. Frank Darabont however only just caught my attention in 1999, when 'the Green Mile' was released. Finally I came to the conclusion that it must have been either television, because it surely isn't on television often enough, or it could just be me, not knowing very much about the film-world before 1995. For in fact, everyone in my school seemed to have known 'the Shawshank Redemption' for a very long time. ""One of the best movies ever"", my best friend said, ""My favorite movie in the whole wide world"", another one of my friends. THEN WHY DIDN'T YOU TELL ME!!!! I replied. If you liked 'the Green Mile', I'm telling you now, you'll love this!!!"
bhester0806,13-Nov-19,10月10日,Simply the best,"There's a reason this is rated the #1 . It is the same reason you watch this movie every time you see it on tv even if it's already half way over. It's captivating, brilliant and full of heart. It's one of the best films ever made."
hjpog,13-Dec-15,10月10日,From my favorite movies..,"It is one of the best movies in the world that many people will join me. Watching very, very impressed. What it might be called the great stories of Stephen King anyway. Acting on cues can say is enormous. There's no posturing. Especially when Andy Dufrense incredible music that review still stands wandering on everyone's lips. Finale as you lose yourself in it is a movie you are getting into. Finals if he so exhilarating you a high-quality music. And finding that deserves really deserve. I watched this film very young age and it has taught me that the magic of cinema in a nice way. This film is one of the reasons I hate the Oscars. Will remain as the best film in more than 10 years, I believe wholeheartedly sites. Definitely one of the best films in the world."
josephledbury,16-Jul-13,10月10日,The Greatest Movie of all Time,"Could a movie be any more perfect? This movie is just absolutely stunning in so many ways. Acting perfect, storyline perfect, soundtrack perfect, emotional drama perfect, everything about this movie is perfect.When this movie first came out it did not reach the expectations that many people expected it to. But as the years went one it was nominated for seven Academy Awards and as it was available for rent everywhere more people started appreciating it and it's popularity grew. Eventually after many years in the top 5 of IMDb's top 250 movies of all time list, it hit number 1 with over one million votes.The story is about a well educated vice president of a large bank being wrongly accused of murdering his wife and her lover and is sentenced to spend life at a large prison in new England called Shawshank prison. As the years go on in his new home he makes friends, enemys and a dramatic twist at the end which became one of the most legendary scenes in movie history.I love this movie. The acting is just so passionate and their performances increases the drama and horror of life in prison. The soundtrack is one of the main reason behind the emotional drama this movie. Many scenes in this movie almost left me in tears mainly because of the soundtrack in the background which increases the emotion.The cast of this movie include Academy Awards winners Morgan Freeman and Tim Robbins. And also William Sadler, Bob Gunton and many other who made this movie what it is.Overall it is defiantly the Greatest movie ever made with passionate acting, great storyline and plenty of emotional drama about how hope overcomes fear in a beautifully crafted film about the strength of the human spirit."
Michael_Elliott,2-Dec-08,N/A,Masterpiece,N/A
dbborroughs,24-Apr-04,7月10日,Over Rated,"There is no denying that this is a very good movie. The acting is great and it tells a good story.Personally, I find it a bit too long and a little too sweet for my taste, but its far from a bad film.On the other end of the spectrum I have yet to understand why this film was nominated for as many Oscars as it was and why so many people have fallen in love with it. To place it on the same level as The Godfather and several hundred other films has to be the result of different tastes.This is a film that should be seen because its a good movie, not because its a great one."
Mad-John,5-Jul-02,5月10日,Papillion is much better,"Oh come on 2nd best movie ever, I don't think so.  It's unrealistic and overly sentimental, the people who voted so high can't have seen many films. By all means watch it, but Papillion for example, is far superior, who can forget Steve McQueen's red rimmed eyes and pasty face as he catches bugs, and crushes centipedes into his watery broth to get nourishment in that incredible portrayal of hardship and determination.  I wouldn't put Papillion as the 2nd best film of all time, but it has to be the best Prison drama.  Watch Shawshank and you'll enjoy it as a lightweight entertaining feel good movie, but there are so many classic films better than this."
blairgallop7,30-Dec-07,10月10日,Hope can set you free and so can this remarkable film,"One of my favorite movies ever,The Shawshank Redemption is a modern day classic as it tells the story of two inmates who become friends and find solace over the years in which this movie takes place.Based on a Stephen King novel,this movie makes us feel different watching this film than most others as this is an incredibly realistic film.Tim Robbins stars as Andy Dufresne who is convicted of murder and Morgan Freeman as Ellis Boyd ""Red"" Redding who is a fellow inmate and close friend of Dufresne and Bob Gunton as Warden Samuel Norton who is the Warden of Shawshank State Prison and is a character who has mixed feelings and emotions towards everyone around him and a character who is sometimes easy to like and at other times easy to despise.This film is easily considered one of the greatest films of all time and I definitely agree with this fact.It was nominated for seven Academy Awards including (Best Picture, Best Actor  Morgan Freeman, Best Adapted Screenplay, Best Cinematography, Best Editing, Best Original Score, and Best Sound) but didn't win any due to tough competition from the film Forrest Gump.I personally think that Tim Robbins should have been nominated for the Best Actor award as he really gave the performance of his career.Bravo to this brilliant modern day classic!"
Bloker-1,7-Sep-06,10月10日,A movie revolution upon all others,"We have all see movies, comedies, action and dramas. We all liked ones, hated others, got into some other even and felt like part of it. In Shawshank Redemption; you start slowly, after a while you get attached, by the time you reach the middle of the movie you simply totally forget about anything outside the screen and feel a mixed stream of emotions going through you head before anything else! then comes a last 20 minutes of heart storming that is surely enough to raise the adrenaline to extreme levels even in diabetics! I felt warm, strong, happy and all other emotions one can think of, I felt I was the one who won, who got out of prison, i was simply fully satisfied.This movie must be used as an Anti-depression by therapists! this movie proves that Oscars are either money bought gifts! or that who ever in charge of them are so smart that they couldn't give any Oscar to The Shawshank Redemption knowing that the movie is on different - much higher- rating scale than the Oscars.. it's simply over qualified!"
ellandanne,27-Nov-11,10月10日,life changing,"I first saw this film, like many others, by chance and on DVD. And like others, I have since watched it over and over again. When I feel sad, it makes me feel happy, when I need hope, it gives me hope.When I want to reaffirm my very belief in life, and all it can offer, this film gives me a new sense of purpose that no other film has ever come close to doing.It soars above anything any other movie has tried to achieve in the way it touches on the true virtues of life itself. The portrayal of friendship, the devastation of loss and the maintaining of hope. Outstanding performances from the two leads and the most beautiful of narratives are the tip of the iceberg of why this film is so great. The cinematography from the very first shots of the prison are stunning and the accompanying soundtrack add to the haunting atmosphere when we first venture inside the prison walls. Thank you Mr Darabont, Mr Robins and Mr Freeman. Thank you to every one else involved. You changed my life"
shiny-metal-ass,25-Dec-08,10月10日,Oh my godmother,"Three words: Oh. My. God.How am i supposed to describe this absolutely fantastic and unbelievable film in words? I don't know. But I'll give it a shot. Here goes.This movie is just bloody excellent, brilliant, fantastic, unbelievable, not a thing wrong with it, shocking (in a good way), heck, pretty much every single good comment word you can think of.I mean, for gods sake, its so damn good it takes your breath away! i seriously could not speak after it! it instantly took every other film i had seen under its shadow, and that's saying something, as i have seen some pretty excellent films.There's not a single actor or actress in this movie who is crap!!! standouts are Morgan freeman, Tim Robbins, and the dude who plays brooks.I could say 1239643609260246704272628xinfinity more things good about this movie, but unfortunately I haven't got that much space, and my fingers would get sore.An absolute must see for everyone, and I'm positive that ill never see another movie better than this, and this will stay at #1 on my list forever."
kshihab-82620,3-Apr-20,10月10日,i swear,I have never watched a better movie than this before
The Boz,30-Jul-98,N/A,A movie about an innocent clever man who learns to live within prison walls.,"This is Tim Robbins best performance ever. It is a compelling heart warming drama about an innocent man(Andy Dufresbe) who is sent to prison and learns to use his intelligence to make the best of prison life. He meets a mentor in Red(Morgan Freeman) and they build a friendship that is stronger than the walls that surround them. Andy steadies a relationship with the warden that keeps him in the good eyes of the prison. Andy is full of surprises and uses his resourcefulness to not only win the friendships of his fellow prisoners, but also of the prison guards. Both Andy and Red both hold on to their dream of one day enjoying their freedom. They turn their friendship and dreams of freedom into a bond that no prison could ever take away."
tikywts,9-Feb-21,7月10日,Undeservedly top 1,"An overrated film that I watched as a teenager and recently decided to re-watch. I must say right away that I like this film, but it is undeservedly and too popular and occupies the first line - this is completely undeserved in comparison with other films of more talented authors.
I am very saddened that people do not see other works, and for so long this film has been number one among the best films. The actors are talented, the plot is just good, not brilliant, like Stanley Kubrick in ""A Space Odyssey"". Even this I am ready to see in the top-1, but not ""Shawshank Redemption"". I understand that many will disagree with me or say that I just hate, but this is not true, and you can understand this by comparing it with other films, is this film so good and does it deserve the first place?"
Marmaduke Grove,26-May-02,3月10日,I thought there were supposed to be no fairytales?,N/A
sbrahman,16-Jul-13,10月10日,Greatest movie of all time!,"This movie is one of my all time favorites. Undoubtedly, one of the most brilliant movies I have ever seen. Story, cast, screenplay all are great. The directing by Frank Darabont was just magnificent. The amazing casting of both Morgan Freeman and Tim Robbins is amazing, and couldn't be more accurate. It was narrated by Morgan Freeman, who is the best narrator in Hollywood, I believe. Actually the film depends on the story and the way in which it unravels. It will change the way u think about things around u. Surely, It will teach you one thing that it is easy to take away a man's bread, even his freedom, but impossible to take away his hope.I can say with confidence this is the best movie I have ever seen - or ever will see. If you haven't watch it yet, just GO! Watch it! Now!"
